Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,7.21,7.45,7.16,7.25,7.271457535480964181,26634,323,193668.00,20534,77.10,0.29,0.04
9-March-2023,7.15,7.45,7.00,7.29,7.266305119395780686,35219,397,255912.00,27844,79.06,0.45,0.14
8-March-2023,7.50,7.50,7.16,7.19,7.333501048218029350,23850,412,174904.00,18262,76.57,0.34,-0.31
6-March-2023,7.02,7.40,7.02,7.16,7.218184961960280604,40484,518,292221.00,22017,54.38,0.38,0.14
3-March-2023,6.93,7.49,6.83,7.14,7.033785931610735207,44042,435,309782.00,31508,71.54,0.66,0.21
2-March-2023,6.85,7.00,6.80,6.91,6.931867152091537261,26918,330,186592.00,19823,73.64,0.20,0.06
1-March-2023,6.90,7.08,6.80,7.00,6.937309659254151583,34806,340,241460.00,21062,60.51,0.28,0.10
28-February-2023,6.95,6.95,6.80,6.93,6.894988474344745154,23426,279,161522.00,17716,75.63,0.15,-0.02
27-February-2023,6.95,7.80,6.81,6.97,7.032279236276849642,33520,410,235722.00,22092,65.91,0.99,0.02
24-February-2023,6.90,7.17,6.82,6.95,6.942084160220323194,24691,310,171407.00,20514,83.08,0.35,0.05
23-February-2023,7.30,7.30,6.80,7.00,7.006935928107597354,49741,432,348532.00,38537,77.48,0.50,-0.30
22-February-2023,7.35,7.50,6.57,7.24,7.235605482745070845,43263,424,313034.00,32582,75.31,0.93,-0.11
21-February-2023,7.37,7.70,7.37,7.43,7.516708492933562277,22713,346,170727.00,17431,76.74,0.33,0.06
20-February-2023,7.45,7.52,7.35,7.38,7.427786182551689359,19830,386,147293.00,14852,74.90,0.17,-0.07
17-February-2023,7.43,7.70,7.40,7.50,7.506872554790014887,28883,427,216821.00,23754,82.24,0.30,0.07
16-February-2023,7.39,7.55,7.35,7.47,7.457464043643577450,30245,375,225551.00,27888,92.21,0.20,0.08
15-February-2023,7.59,7.59,7.10,7.39,7.324957729597842604,46723,380,342244.00,32176,68.87,0.49,-0.20
14-February-2023,7.62,7.62,7.41,7.48,7.505308168681804777,13564,325,101802.00,10610,78.22,0.21,-0.14
13-February-2023,7.69,7.69,7.36,7.57,7.496528429348845937,31974,448,239694.00,18551,58.02,0.33,-0.12
10-February-2023,7.75,7.75,7.50,7.56,7.593674885894077294,37027,434,281171.00,27792,75.06,0.25,-0.19
9-February-2023,7.57,7.79,7.50,7.66,7.630639914978583620,31051,450,236939.00,19275,62.08,0.29,0.09
8-February-2023,7.79,7.79,7.00,7.57,7.485539271439248692,61546,483,460705.00,43250,70.27,0.79,-0.22
7-February-2023,7.67,7.90,7.53,7.63,7.705928583632325303,58530,457,451028.00,46306,79.11,0.37,-0.04
6-February-2023,7.85,7.89,7.60,7.67,7.688703967633672015,21751,572,167237.00,16584,76.24,0.29,-0.18
3-February-2023,7.65,7.89,7.40,7.69,7.609117268041237113,31040,409,236187.00,22095,71.18,0.49,0.04
2-February-2023,7.55,8.00,7.55,7.66,7.744671162478044972,46117,438,357161.00,36290,78.69,0.45,0.11
