Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,468.00,469.15,461.85,466.65,466.320413315878062464,21388,1374,9973661.00,9621,44.98,7.30,-1.35
22-March-2023,464.00,469.50,463.20,467.00,467.040734162226169330,25335,1550,11832477.00,9619,37.97,6.30,3.00
21-March-2023,472.00,472.00,463.05,464.70,466.206756250334600353,112074,5273,52249656.00,59720,53.29,8.95,-7.30
20-March-2023,468.00,471.75,458.55,468.10,466.494129600361255362,62006,2953,28925435.00,20538,33.12,13.20,0.10
17-March-2023,468.00,469.80,459.00,460.20,462.565223088514708772,45789,2451,21180399.00,10519,22.97,10.80,-7.80
16-March-2023,465.05,471.00,457.50,464.55,465.207383849799809008,114141,9165,53099236.00,64939,56.89,13.50,-0.50
15-March-2023,465.00,477.05,462.90,469.00,468.120665491206654912,88476,3931,41417444.00,29196,33.00,14.15,4.00
14-March-2023,456.75,477.80,456.75,469.45,471.021644061835807886,130798,5868,61608689.00,29557,22.60,21.05,12.70
13-March-2023,455.55,468.15,452.75,462.50,463.280144974675897960,86084,3607,39881008.00,32099,37.29,15.40,6.95
10-March-2023,453.80,461.95,449.75,460.30,456.870942118355316791,95678,4238,43712498.00,41669,43.55,12.20,6.50
9-March-2023,434.90,455.35,434.90,453.30,449.131262582686223756,34770,2233,15616294.00,13600,39.11,20.45,18.40
8-March-2023,427.00,438.90,426.00,437.85,435.231352087114337568,22040,1038,9592499.00,7558,34.29,12.90,10.85
6-March-2023,425.00,432.10,425.00,430.70,429.890754282967693205,29127,1395,12521428.00,17164,58.93,7.10,5.70
3-March-2023,428.55,430.95,423.60,425.50,426.526169178866569686,32309,1503,13780634.00,14356,44.43,7.35,-3.05
2-March-2023,430.10,433.35,428.35,430.05,430.422877478393492628,9835,467,4233209.00,2966,30.16,5.00,-0.05
1-March-2023,429.95,435.00,426.70,433.25,431.256007724216850236,27964,1651,12059643.00,11330,40.52,8.30,3.30
28-February-2023,427.60,430.00,423.10,425.65,426.195488005336255568,41977,1975,17890408.00,21984,52.37,6.90,-1.95
27-February-2023,426.10,431.90,425.65,429.25,428.826288298960745247,37142,1687,15927466.00,8939,24.07,6.25,3.15
