Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,4467.95,4467.95,4367.55,4427.70,4415.102988328844427343,7797,1626,34424558.00,1748,22.42,100.40,-40.25
22-March-2023,4559.95,4566.00,4484.45,4492.35,4519.365738862290026779,12323,2100,55692144.00,5752,46.68,81.55,-67.60
21-March-2023,4598.95,4598.95,4450.05,4477.05,4489.923118668596237337,5528,1168,24820295.00,1536,27.79,148.90,-121.90
20-March-2023,4648.95,4655.00,4502.00,4547.95,4579.763203917453655124,5718,1208,26187086.00,1651,28.87,153.00,-101.00
17-March-2023,4501.05,4658.45,4501.05,4649.60,4599.831593318342434950,12452,2392,57277103.00,3085,24.78,157.40,148.55
16-March-2023,4549.85,4583.45,4464.15,4478.55,4524.295706266120467303,6591,1382,29819633.00,754,11.44,119.30,-71.30
15-March-2023,4561.05,4594.55,4498.50,4522.35,4538.528864713107562730,5699,1274,25865076.00,1386,24.32,96.05,-38.70
14-March-2023,4610.05,4617.75,4451.95,4528.25,4523.548042704626334519,21356,4527,96604892.00,5414,25.35,165.80,-81.80
13-March-2023,4751.05,4793.65,4606.05,4622.80,4700.516777724892908138,8404,1783,39503143.00,1829,21.76,187.60,-128.25
10-March-2023,4780.00,4780.00,4685.45,4749.00,4725.822270137070691513,12986,2802,61369528.00,3564,27.44,94.55,-31.00
9-March-2023,4900.05,4919.30,4807.65,4818.70,4871.905947441217150760,2892,793,14089552.00,744,25.73,111.65,-81.35
8-March-2023,4869.95,4901.30,4783.45,4891.30,4832.174463519313304721,9320,2309,45035866.00,2596,27.85,117.85,21.35
6-March-2023,4872.20,4937.45,4857.70,4879.50,4897.760291595197255574,4664,1036,22843154.00,1440,30.87,79.75,7.30
3-March-2023,4861.00,4950.00,4849.25,4864.65,4890.893969083387763988,4593,1252,22463876.00,1360,29.61,100.75,3.65
2-March-2023,4865.65,4914.00,4847.55,4857.55,4873.555382942364455491,6437,1101,31371076.00,1157,17.97,66.45,-8.10
1-March-2023,4772.05,4932.85,4772.05,4899.95,4869.594037665737691073,11841,2171,57660863.00,4002,33.80,160.80,127.90
28-February-2023,4845.00,4876.05,4745.10,4794.65,4809.551152446421350586,7419,1963,35682060.00,2143,28.89,130.95,-50.35
27-February-2023,4870.00,4879.75,4742.25,4824.20,4807.742247376488621624,8481,1935,40774462.00,1491,17.58,137.50,-45.80
24-February-2023,5014.95,5014.95,4881.00,4894.50,4924.735470341521869382,6676,1482,32877534.00,2106,31.55,133.95,-120.45
23-February-2023,5069.00,5069.00,4951.90,4968.70,4987.912122577737719693,11095,2541,55340885.00,2915,26.27,117.10,-100.30
22-February-2023,4908.90,5077.15,4890.95,5047.00,4967.283532536520584329,18072,3516,89768748.00,6925,38.32,186.20,138.10
21-February-2023,5080.00,5131.15,4954.65,4969.30,5019.031861678990865593,27588,3963,138465051.00,6836,24.78,176.50,-110.70
20-February-2023,4910.20,5095.70,4895.60,5063.90,5042.411370922119554968,21212,3206,106959630.00,3951,18.63,200.10,153.70
17-February-2023,4923.00,4923.00,4850.00,4910.20,4890.266606108777109117,8807,1892,43068578.00,2498,28.36,73.00,-12.80
16-February-2023,4870.10,4981.50,4858.80,4940.25,4942.496967513360955983,16653,3019,82307402.00,7303,43.85,122.70,70.15
15-February-2023,4765.00,4847.00,4718.80,4830.10,4802.079823410094260828,8381,2047,40246231.00,4223,50.39,128.20,65.10
14-February-2023,4739.90,4830.00,4727.25,4752.20,4782.148297169133496191,6959,1614,33278970.00,1836,26.38,102.75,12.30
13-February-2023,4919.75,4919.75,4697.60,4720.90,4749.264504934388894913,9221,1836,43792968.00,2191,23.76,222.15,-198.85
10-February-2023,4825.00,4900.00,4778.55,4888.10,4844.078651685393258426,5607,974,27160749.00,1911,34.08,121.45,63.10
9-February-2023,4847.95,4889.45,4782.30,4824.40,4830.115954224166947155,5942,1074,28700549.00,1196,20.13,107.15,-23.55
8-February-2023,4848.00,4923.60,4819.00,4832.50,4866.585265419389490645,11171,2365,54364624.00,4256,38.10,104.60,-15.50
7-February-2023,4820.15,4870.95,4800.00,4823.40,4836.074146341463414634,6150,1072,29741856.00,1525,24.80,70.95,3.25
6-February-2023,4858.95,4948.50,4780.00,4833.80,4871.635285531837255975,10962,2158,53402866.00,2125,19.39,168.50,-25.15
3-February-2023,4833.00,4880.00,4788.15,4848.95,4850.380285293929508091,15633,3346,75825995.00,6399,40.93,91.85,15.95
2-February-2023,4684.40,4887.00,4684.40,4836.40,4826.893929186316341043,13359,2949,64482476.00,3317,24.83,202.60,152.00
1-February-2023,4687.60,4737.00,4605.05,4683.05,4672.434853560079017435,11643,2169,54401159.00,2271,19.51,131.95,-4.55
