Date,Open,High,Low,Close
23-Sep-22,59005.18,59143.32,57981.95,58098.92
26-Sep-22,57525.03,57708.38,57038.24,57145.22
27-Sep-22,57376.52,57704.57,56950.52,57107.52
28-Sep-22,56710.13,57213.33,56485.67,56598.28
29-Sep-22,56997.9,57166.14,56314.05,56409.96
30-Sep-22,56240.15,57722.63,56147.23,57426.92
03-Oct-22,57403.92,57454.84,56683.4,56788.81
04-Oct-22,57506.65,58099.94,57506.65,58065.47
06-Oct-22,58314.05,58578.76,58173.7,58222.1
07-Oct-22,58092.56,58269.34,57851.15,58191.29
10-Oct-22,57424.07,58125.01,57365.68,57991.11
11-Oct-22,58004.25,58027.52,57050.4,57147.32
12-Oct-22,57312.49,57687.64,57085.92,57625.91
13-Oct-22,57512.74,57568.14,57055.75,57235.33
14-Oct-22,58162.74,58435.12,57848.23,57919.97
17-Oct-22,57752.5,58449,57639.8,58410.98
18-Oct-22,58744.13,59143.66,58744.13,58960.6
19-Oct-22,59196.96,59399.69,58961.77,59107.19
20-Oct-22,58824.48,59273.85,58791.28,59202.9
21-Oct-22,59381.36,59590.93,59132.94,59307.15
24-Oct-22,59804.02,59994.25,59776.66,59831.66
25-Oct-22,60002.96,60081.24,59489.02,59543.96
27-Oct-22,59792.32,59959.94,59496.8,59756.84
28-Oct-22,59746.8,60133.17,59739.05,59959.85
31-Oct-22,60246.96,60786.7,60246.96,60746.59
01-Nov-22,61065.58,61289.73,60868.69,61121.35
02-Nov-22,61156.89,61209.65,60794.39,60906.09
03-Nov-22,60511.57,60994.37,60485.14,60836.41
04-Nov-22,60698.27,61004.49,60666.01,60950.36
07-Nov-22,61188.13,61401.54,60714.36,61185.15
09-Nov-22,61304.29,61447.23,60905.15,61033.55
10-Nov-22,60524.27,60848.73,60425.47,60613.7
11-Nov-22,61311.02,61840.97,61311.02,61795.04
14-Nov-22,61765.86,61916.24,61572.03,61624.15
15-Nov-22,61630.05,61955.96,61436.9,61872.99
16-Nov-22,61708.63,62052.57,61708.63,61980.72
17-Nov-22,61812.36,62050.8,61643.27,61750.6
18-Nov-22,61858.2,61929.88,61337.43,61663.48
21-Nov-22,61456.33,61456.33,61059.33,61144.84
22-Nov-22,61126.56,61466.63,61073.68,61418.96
23-Nov-22,61779.71,61780.9,61442.69,61510.58
24-Nov-22,61656,62412.33,61600.42,62272.68
25-Nov-22,62327.88,62447.73,62115.66,62293.64
28-Nov-22,62016.35,62701.4,61959.74,62504.8
29-Nov-22,62362.08,62887.4,62362.08,62681.84
30-Nov-22,62743.47,63303.01,62648.38,63099.65
01-Dec-22,63357.99,63583.07,63183.77,63284.19
02-Dec-22,62978.58,63148.59,62679.63,62868.5
05-Dec-22,62865.28,62939.63,62507.88,62834.6
06-Dec-22,62395.55,62677.84,62390.07,62626.36
07-Dec-22,62615.52,62759.97,62316.65,62410.68
08-Dec-22,62504.04,62633.56,62320.18,62570.68
09-Dec-22,62690.86,62735.42,61889.11,62181.67
12-Dec-22,61770.56,62239.42,61676.15,62130.57
13-Dec-22,62300.67,62567.92,62129.57,62533.3
14-Dec-22,62685.94,62835.11,62591.28,62677.91
15-Dec-22,62530.07,62624.81,61715.61,61799.03
16-Dec-22,61534.24,61893.22,61292.53,61337.81
19-Dec-22,61405.8,61844.92,61265.31,61806.19
20-Dec-22,61608.85,61780.37,61102.68,61702.29
21-Dec-22,61993.71,62006.46,60938.38,61067.24
22-Dec-22,61257.17,61464.38,60637.24,60826.22
23-Dec-22,60205.56,60546.88,59765.56,59845.29
26-Dec-22,59755.08,60833.78,59754.1,60566.42
27-Dec-22,60861.41,60986.68,60405.66,60927.43
28-Dec-22,60811.52,61075.33,60713.77,60910.28
29-Dec-22,60628.29,61210.65,60479.06,61133.88
30-Dec-22,61329.16,61392.68,60743.71,60840.74
02-Jan-23,60871.24,61222.79,60764.63,61167.79
03-Jan-23,61074.88,61343.96,61004.04,61294.2
04-Jan-23,61294.65,61327.21,60593.56,60657.45
05-Jan-23,60847.5,60877.06,60049.84,60353.27
06-Jan-23,60388.74,60537.63,59669.91,59900.37
09-Jan-23,60147.07,60889.41,60109.94,60747.31
10-Jan-23,60805.14,60809.65,59938.38,60115.48
11-Jan-23,60134.56,60364.77,59805.78,60105.5
12-Jan-23,60083.03,60290.35,59632.32,59958.03
13-Jan-23,60044.96,60418.26,59628.43,60261.18
16-Jan-23,60550.5,60586.77,59963.83,60092.97
17-Jan-23,60142.08,60704.48,60072.34,60655.72
18-Jan-23,60716.03,61110.25,60569.19,61045.74
19-Jan-23,60920.02,61032.47,60716.55,60858.43
20-Jan-23,60901.16,61001.18,60585.25,60621.77
23-Jan-23,60876.01,61113.27,60761.88,60941.67
24-Jan-23,61122.2,61266.06,60849.12,60978.75
25-Jan-23,60834.73,60899.21,60081.36,60205.06
27-Jan-23,60166.9,60166.9,58974.7,59330.9
30-Jan-23,59101.69,59644.24,58699.2,59500.41
31-Jan-23,59770.83,59787.63,59104.59,59549.9
01-Feb-23,60001.17,60773.44,58816.84,59708.08
02-Feb-23,59459.87,60007.67,59215.62,59932.24
03-Feb-23,60350.01,60905.34,60013.06,60841.88
06-Feb-23,60847.21,60847.21,60345.61,60506.9
07-Feb-23,60511.32,60655.14,60063.49,60286.04
08-Feb-23,60332.99,60792.1,60324.92,60663.79
09-Feb-23,60715.89,60863.63,60472.81,60806.22
10-Feb-23,60706.81,60774.14,60501.74,60682.7
13-Feb-23,60652.82,60740.95,60245.05,60431.84
14-Feb-23,60550.25,61102.74,60550.25,61032.26
15-Feb-23,60990.05,61352.55,60750.32,61275.09
16-Feb-23,61566.22,61682.25,61196.72,61319.51
17-Feb-23,60993.54,61302.72,60810.67,61002.57
20-Feb-23,61112.84,61290.19,60607.02,60691.54
21-Feb-23,60770.43,60976.59,60583.72,60672.72
22-Feb-23,60391.86,60462.9,59681.55,59744.98
23-Feb-23,59777.64,59960.04,59406.31,59605.8
24-Feb-23,59859.48,59908.77,59325.34,59463.93
27-Feb-23,59331.31,59441.13,58937.64,59288.35
28-Feb-23,59346.61,59483.72,58795.97,58962.12
01-Mar-23,59136.48,59475.45,59109.54,59411.08
02-Mar-23,59287.18,59423.79,58866.26,58909.35
03-Mar-23,59241.2,59967.04,59231.58,59808.97
06-Mar-23,60007.04,60498.48,60005.65,60224.46
08-Mar-23,59916.1,60402.85,59844.82,60348.09
09-Mar-23,60467.09,60467.09,59750.53,59806.28
10-Mar-23,59259.83,59262.47,58884.98,59135.13
13-Mar-23,59033.77,59510.92,58094.55,58237.85
14-Mar-23,58168.75,58490.98,57721.16,57900.19
15-Mar-23,58268.54,58473.63,57455.67,57555.9
16-Mar-23,57510.8,57887.46,57158.69,57634.84
17-Mar-23,58038.17,58178.94,57503.9,57989.9
20-Mar-23,57773.55,57829.23,57084.91,57628.95
21-Mar-23,57963.27,58133.33,57730.09,58074.68
22-Mar-23,58245.26,58418.78,58063.5,58214.59
23-Mar-23,58061.41,58396.17,57838.85,57925.28
