Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,2450.00,2470.40,2445.55,2463.15,2462.064569151328133480,64489,3508,158776082.00,54682,84.79,24.85,13.15
9-March-2023,2493.95,2493.95,2457.00,2459.75,2464.268878146357726287,29995,2687,73915745.00,20331,67.78,36.95,-34.20
8-March-2023,2475.05,2500.00,2467.80,2484.90,2486.633719370961843228,82030,5374,203978564.00,69209,84.37,32.20,9.85
6-March-2023,2473.05,2498.00,2473.05,2484.75,2486.688984715878645607,39191,1891,97455828.00,32778,83.64,24.95,11.70
3-March-2023,2465.00,2489.55,2456.50,2470.05,2471.089783635532530854,26252,2097,64871049.00,17230,65.63,33.05,5.05
2-March-2023,2465.00,2469.70,2444.00,2454.20,2450.609594251901944209,23660,2811,57981423.00,10490,44.34,25.70,-10.80
1-March-2023,2457.65,2470.00,2448.45,2465.00,2459.256174963676684254,13077,2040,32159693.00,6999,53.52,21.55,7.35
28-February-2023,2468.40,2474.50,2434.70,2457.65,2453.516123329326073120,28282,5314,69390343.00,12722,44.98,39.80,-10.75
27-February-2023,2482.00,2484.00,2455.80,2468.40,2471.123936595651857776,27506,4236,67970735.00,14912,54.21,28.20,-13.60
24-February-2023,2494.00,2510.00,2472.00,2484.25,2486.569886670264436049,29648,2383,73721824.00,21881,73.80,38.00,-9.75
23-February-2023,2492.00,2515.20,2479.35,2490.10,2498.935323383084577114,10653,2084,26621158.00,4530,42.52,35.85,-1.90
22-February-2023,2512.00,2522.50,2483.55,2493.30,2491.323068906478747425,40301,4506,100402811.00,29209,72.48,38.95,-18.70
21-February-2023,2519.90,2543.85,2512.55,2515.65,2527.612486271859423840,23674,3032,59838698.00,10999,46.46,31.30,-4.25
20-February-2023,2515.50,2542.75,2508.70,2510.70,2521.007168125116365667,21484,2133,54161318.00,10990,51.15,34.05,-4.80
17-February-2023,2525.00,2546.80,2507.00,2515.05,2518.069237894303504348,38866,2822,97867279.00,26347,67.79,39.80,-9.95
16-February-2023,2564.90,2564.90,2523.95,2526.25,2538.049857124578837377,23447,3641,59509655.00,13712,58.48,40.95,-38.65
15-February-2023,2552.60,2569.40,2537.00,2548.10,2546.521922676142891495,37427,4755,95308676.00,19600,52.37,32.40,-4.50
14-February-2023,2578.45,2602.40,2575.00,2579.70,2585.760884311790823877,32432,1833,83861397.00,9658,29.78,27.40,1.25
13-February-2023,2567.65,2589.75,2550.15,2578.40,2573.670947980746956320,38851,3035,99989690.00,23813,61.29,39.60,10.75
10-February-2023,2575.05,2585.00,2555.00,2578.15,2568.072061498738336952,34082,3912,87525032.00,16015,46.99,30.00,3.10
9-February-2023,2583.15,2599.80,2565.85,2586.95,2583.451912686405878539,18508,2571,47814528.00,8071,43.61,33.95,3.80
8-February-2023,2594.95,2606.90,2579.95,2583.15,2587.419075963718820861,14112,1478,36513658.00,7832,55.50,26.95,-11.80
