Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,18541.80,18541.80,18374.80,18479.40,18480.423645320197044334,609,391,11254578.00,321,52.71,167.00,-62.40
9-March-2023,18505.85,18576.00,18439.85,18541.80,18512.980108499095840867,553,317,10237678.00,287,51.90,136.15,35.95
8-March-2023,18450.00,18570.90,18399.00,18503.05,18473.848393574297188755,996,556,18399953.00,433,43.47,171.90,53.05
6-March-2023,18500.05,18561.10,18423.05,18517.85,18488.759228187919463087,1192,625,22038601.00,544,45.64,138.05,17.80
3-March-2023,18502.05,18604.80,18400.00,18458.15,18472.421863536316947909,1363,743,25177911.00,585,42.92,204.80,-43.90
2-March-2023,18675.10,18792.15,18466.85,18489.90,18609.559905100830367734,843,569,15687859.00,581,68.92,325.30,-185.20
1-March-2023,18769.95,18815.45,18595.80,18795.15,18733.257785467128027681,578,283,10827823.00,375,64.88,219.65,25.20
28-February-2023,18630.05,18711.75,18458.70,18657.95,18574.097067745197168857,989,633,18369782.00,400,40.44,253.05,27.90
27-February-2023,18665.30,18831.20,18500.00,18626.50,18655.322580645161290322,1147,531,21397655.00,523,45.60,331.20,-38.80
24-February-2023,18729.90,18840.00,18635.10,18664.00,18731.709565217391304347,575,336,10770733.00,282,49.04,204.90,-65.90
23-February-2023,18684.75,18825.65,18563.60,18641.35,18703.812865497076023391,513,305,9595056.00,178,34.70,262.05,-43.40
22-February-2023,18843.95,18853.20,18620.65,18666.35,18772.912964641885766092,1103,460,20706523.00,386,35.00,232.55,-177.60
21-February-2023,18942.80,18942.80,18777.55,18843.95,18842.858218318695106649,797,396,15017758.00,331,41.53,165.25,-98.85
20-February-2023,19049.90,19052.00,18785.55,18821.05,18874.464444444444444444,1350,679,25480527.00,668,49.48,266.45,-228.85
17-February-2023,19640.00,19640.00,18837.65,19008.95,19094.169210782721662877,3079,1516,58790947.00,1053,34.20,802.35,-631.05
16-February-2023,19450.00,19799.95,19148.85,19620.70,19545.569527306103717301,2179,1232,42589796.00,575,26.39,651.10,170.70
15-February-2023,19031.35,19300.00,18947.50,19245.80,19156.240338164251207729,828,427,15861367.00,490,59.18,352.50,214.45
14-February-2023,19020.00,19255.00,19020.00,19082.85,19156.034517766497461928,985,496,18868694.00,573,58.17,235.00,62.85
13-February-2023,18900.10,19164.75,18900.10,19037.35,19008.080450522928399034,1243,520,23627044.00,962,77.39,264.65,137.25
10-February-2023,19000.00,19067.15,18884.60,19032.20,18972.706616729088639200,801,399,15197138.00,380,47.44,182.55,32.20
9-February-2023,19007.00,19082.65,18978.80,19001.30,19007.364093959731543624,1192,374,22656778.00,918,77.01,103.85,-5.70
8-February-2023,18975.00,19059.00,18900.00,19001.40,18961.165008291873963515,2412,390,45734330.00,1977,81.97,159.00,26.40
7-February-2023,19099.95,19099.95,18886.45,18983.75,18974.836853605243991260,1373,580,26052451.00,889,64.75,213.50,-116.20
6-February-2023,19008.00,19050.00,18750.00,19029.65,18921.627860026917900403,1486,721,28117539.00,776,52.22,300.00,21.65
3-February-2023,18900.05,19049.00,18786.10,19010.05,18907.532299741602067183,774,491,14634430.00,414,53.49,262.90,110.00
2-February-2023,19399.90,19399.90,18859.05,18957.95,18963.628169014084507042,710,370,13464176.00,343,48.31,540.85,-441.95
1-February-2023,19189.95,19189.95,18931.20,19076.20,19067.472038484666265784,1663,798,31709206.00,1112,66.87,258.75,-113.75
31-January-2023,19279.95,19279.95,18930.15,19015.55,19001.981404958677685950,968,482,18393918.00,451,46.59,349.80,-264.40
30-January-2023,19200.00,19213.00,18981.00,19180.35,19120.109354413702239789,759,344,14512163.00,391,51.52,232.00,-19.65
27-January-2023,19300.00,19379.60,19030.65,19213.20,19189.251872659176029962,1068,649,20494121.00,516,48.31,348.95,-86.80
25-January-2023,19283.65,19324.05,19160.00,19257.65,19245.805732484076433121,628,389,12086366.00,419,66.72,164.05,-26.00
24-January-2023,19436.55,19436.55,19160.00,19283.60,19289.780804150453955901,771,463,14872421.00,342,44.36,276.55,-152.95
23-January-2023,19208.05,19430.00,19177.85,19368.50,19346.782244556113902847,597,338,11550029.00,309,51.76,252.15,160.45
20-January-2023,19675.40,19675.40,19155.00,19199.45,19306.579509742300439974,1591,599,30716768.00,804,50.53,520.40,-475.95
19-January-2023,19848.00,19892.00,19621.60,19675.40,19687.273348519362186788,439,244,8642713.00,181,41.23,270.40,-172.60
18-January-2023,19900.05,20025.00,19800.00,19821.55,19886.832627118644067796,472,306,9386585.00,256,54.24,225.00,-78.50
17-January-2023,19879.90,19960.65,19726.20,19925.90,19877.376633986928104575,1224,622,24329909.00,847,69.20,234.45,46.00
16-January-2023,19815.05,19827.10,19701.60,19741.05,19747.498293515358361774,293,207,5786017.00,127,43.34,125.50,-74.00
13-January-2023,19969.95,19969.95,19741.65,19782.25,19822.124744376278118609,489,306,9693019.00,238,48.67,228.30,-187.70
12-January-2023,19757.50,19943.30,19741.15,19878.90,19835.638000000000000000,500,315,9917819.00,227,45.40,202.15,121.40
11-January-2023,20138.30,20138.30,19730.00,19763.45,19844.914122137404580152,524,244,10398735.00,196,37.40,408.30,-374.85
10-January-2023,20085.00,20185.00,19970.20,20020.20,20054.102339181286549707,684,333,13717006.00,261,38.16,214.80,-64.80
9-January-2023,19900.10,20150.00,19900.05,20076.95,20050.399115044247787610,1130,494,22656951.00,539,47.70,249.95,176.85
6-January-2023,19776.00,19924.00,19776.00,19884.05,19873.506000000000000000,500,261,9936753.00,260,52.00,148.00,108.05
5-January-2023,19551.00,19881.00,19533.55,19759.20,19737.699775952203136669,1339,702,26428780.00,774,57.80,347.45,208.20
4-January-2023,19719.60,19792.45,19500.00,19534.60,19572.208520179372197309,892,459,17458410.00,533,59.75,292.45,-185.00
3-January-2023,19599.00,19755.00,19483.80,19733.20,19643.273745997865528281,1874,799,36811495.00,1354,72.25,271.20,134.20
2-January-2023,19611.05,19678.70,19511.00,19563.95,19596.217585692995529061,671,336,13149062.00,315,46.94,167.70,-47.10
30-December-2022,19822.05,19893.20,19558.90,19598.80,19706.620118343195266272,845,530,16652094.00,431,51.01,334.30,-223.25
29-December-2022,19701.00,19905.00,19640.00,19822.10,19754.150490730643402399,917,542,18114556.00,375,40.89,265.00,121.10
28-December-2022,19893.20,19893.20,19701.95,19850.60,19794.244140625000000000,512,363,10134653.00,211,41.21,191.25,-42.60
27-December-2022,19862.00,20017.40,19743.65,19779.85,19842.531684698608964451,647,407,12838118.00,271,41.89,273.75,-82.15
26-December-2022,20140.60,20221.90,19871.35,19896.05,20051.021857923497267759,1281,729,25685359.00,520,40.59,350.55,-244.55
23-December-2022,20273.40,20451.45,18641.25,20146.55,20349.483887210473313192,3972,826,80828150.00,3174,79.91,1810.20,-126.85
22-December-2022,20301.10,20400.00,20150.00,20297.00,20248.978680203045685279,985,619,19945244.00,702,71.27,250.00,-4.10
21-December-2022,20150.00,20344.00,20077.30,20320.90,20146.767809010396611474,5194,938,104642312.00,3823,73.60,266.70,170.90
20-December-2022,20056.10,20164.95,19842.95,20132.00,19991.849397590361445783,1162,719,23230529.00,492,42.34,322.00,75.90
19-December-2022,19800.00,20126.05,19790.40,20086.65,20002.996233521657250470,2124,1106,42486364.00,1170,55.08,335.65,286.65
16-December-2022,19650.05,19849.35,19596.30,19751.05,19743.533159947984395318,769,330,15182777.00,244,31.73,253.05,101.00
15-December-2022,20073.45,20150.00,19688.55,19730.85,19860.738617200674536256,1186,529,23554836.00,698,58.85,461.45,-342.60
14-December-2022,20350.05,20434.85,20000.20,20053.20,20150.714444444444444444,1800,856,36271286.00,776,43.11,434.65,-296.85
13-December-2022,20598.95,20628.90,20330.05,20392.25,20475.996168582375478927,1044,530,21376940.00,335,32.09,298.85,-206.70
12-December-2022,20250.00,20506.80,20172.85,20482.35,20374.564228211410570528,2857,1266,58210130.00,1971,68.99,333.95,232.35
9-December-2022,20040.00,20281.40,19861.00,20247.05,20071.023952095808383233,1670,606,33518610.00,729,43.65,420.40,207.05
8-December-2022,19850.05,20096.95,19733.85,19803.65,19921.655344655344655344,1001,401,19941577.00,244,24.38,363.10,-46.40
7-December-2022,19911.20,20073.65,19841.70,19910.20,19959.761242845461978740,1223,493,24410788.00,260,21.26,231.95,-1.00
6-December-2022,19650.10,19990.00,19570.30,19910.75,19747.097982708933717579,1735,717,34261215.00,933,53.78,419.70,260.65
5-December-2022,19750.05,19810.10,19560.00,19761.60,19658.747639484978540772,1165,542,22902441.00,374,32.10,250.10,11.55
2-December-2022,19858.15,20200.00,19690.00,19746.90,19818.763048016701461377,1916,885,37972750.00,985,51.41,510.00,-111.25
1-December-2022,20183.85,20268.20,19950.05,20049.95,20057.900369003690036900,813,287,16307073.00,322,39.61,318.15,-133.90
30-November-2022,20099.00,20327.90,19849.75,20105.85,20129.532571428571428571,1750,628,35226682.00,614,35.09,478.15,6.85
29-November-2022,19615.05,20360.00,19615.05,20118.55,20112.560168666882906260,3083,1437,62007023.00,1695,54.98,744.95,503.50
28-November-2022,19649.90,19847.75,19352.35,19821.00,19688.716666666666666666,780,398,15357199.00,425,54.49,495.40,171.10
25-November-2022,19739.55,19753.45,19435.65,19527.80,19529.487080103359173126,1548,791,30231646.00,785,50.71,317.80,-211.75
24-November-2022,19600.05,19860.00,19506.25,19783.30,19681.760348583877995642,459,230,9033928.00,178,38.78,353.75,183.25
23-November-2022,19749.00,19810.00,19524.05,19546.85,19608.185827397338025371,35237,276,690933644.00,34900,99.04,285.95,-202.15
22-November-2022,19712.05,19889.50,19560.00,19607.35,19630.889375684556407447,913,399,17923002.00,286,31.33,329.50,-104.70
21-November-2022,19855.05,19855.05,19657.65,19757.60,19756.952293577981651376,1090,569,21535078.00,342,31.38,197.40,-97.45
18-November-2022,19980.00,20010.40,19788.80,19946.10,19863.000000000000000000,615,204,12215745.00,194,31.54,221.60,-33.90
17-November-2022,20180.00,20180.00,19900.10,19985.35,20019.491666666666666666,360,197,7207017.00,166,46.11,279.90,-194.65
16-November-2022,19902.05,20123.00,19830.00,20097.00,19972.743509047993705743,1271,639,25385357.00,473,37.21,293.00,194.95
15-November-2022,20199.00,20199.00,19858.05,20059.50,19994.050560262366766876,3659,400,73158231.00,173,4.73,340.95,-139.50
14-November-2022,20251.10,20384.05,19907.95,20059.50,20155.050806933652121936,1673,928,33719400.00,679,40.59,476.10,-191.60
11-November-2022,20200.10,20490.00,20200.10,20329.50,20337.688963210702341137,598,308,12161938.00,254,42.47,289.90,129.40
10-November-2022,20250.00,20375.50,20050.50,20159.80,20196.333646616541353383,1064,541,21488899.00,476,44.74,325.00,-90.20
9-November-2022,20505.05,20849.95,20205.00,20322.65,20457.607410327158060701,2537,940,51900950.00,713,28.10,644.95,-182.40
7-November-2022,20411.05,20711.85,20381.45,20494.60,20534.805856142584341183,1571,640,32260180.00,424,26.99,330.40,83.55
4-November-2022,20371.45,20513.95,20314.75,20424.50,20406.905525846702317290,561,265,11448274.00,161,28.70,199.20,53.05
3-November-2022,20180.00,20461.95,20170.00,20418.80,20283.074910210364289379,1949,877,39531713.00,629,32.27,291.95,238.80
2-November-2022,20548.00,20667.10,20222.55,20387.90,20387.187361419068736141,1804,774,36778486.00,719,39.86,444.55,-160.10
1-November-2022,20400.00,20720.00,20390.30,20590.95,20563.573198198198198198,2664,1136,54781359.00,1766,66.29,329.70,190.95
31-October-2022,20301.05,20450.05,20147.25,20367.90,20298.779452054794520547,2190,989,44454327.00,1261,57.58,302.80,66.85
28-October-2022,20050.85,20357.90,20050.85,20293.55,20207.412861136999068033,1073,543,21682554.00,330,30.75,307.05,242.70
27-October-2022,20400.55,20481.95,19916.00,20101.25,20158.602300242130750605,1652,818,33302011.00,414,25.06,565.95,-299.30
25-October-2022,20850.00,21004.45,20219.25,20281.65,20456.452505966587112171,2095,1055,42856268.00,621,29.64,785.20,-568.35
24-October-2022,20340.95,21053.00,20340.95,20867.90,20816.362879238548483045,1681,779,34992306.00,817,48.60,712.05,526.95
21-October-2022,20050.00,20344.85,20030.00,20276.20,20178.227485928705440900,2132,887,43019981.00,1176,55.16,314.85,226.20
20-October-2022,19779.60,20130.00,19669.20,20054.65,20000.364349081906333814,4847,2186,96941766.00,2270,46.83,460.80,275.05
19-October-2022,19385.00,19849.95,19247.85,19754.65,19654.675054112554112554,3696,1281,72643679.00,1878,50.81,602.10,369.65
18-October-2022,19016.35,19434.20,19016.35,19385.00,19274.378193146417445482,1605,765,30935377.00,1112,69.28,417.85,368.65
17-October-2022,18850.00,19054.00,18796.35,18934.65,18928.338618914674576862,45848,341,867826469.00,45495,99.23,257.65,84.65
14-October-2022,18945.00,19021.25,18869.80,18919.10,18943.258527827648114901,557,273,10551395.00,262,47.04,151.45,-25.90
13-October-2022,18772.00,18900.00,18625.10,18753.00,18749.246049661399548532,443,254,8305916.00,165,37.25,274.90,-19.00
12-October-2022,18585.05,18748.00,18459.45,18721.35,18621.976537216828478964,1236,631,23016763.00,532,43.04,288.55,136.30
11-October-2022,19200.05,19200.05,18411.95,18459.45,19110.985702938840349483,45324,530,866186316.00,44692,98.61,788.10,-740.60
10-October-2022,19049.95,19205.00,19003.50,19096.55,19104.593750000000000000,800,571,15283675.00,405,50.62,201.50,46.60
7-October-2022,19250.05,19383.05,19167.60,19321.45,19297.439461883408071748,446,340,8606658.00,120,26.91,215.45,71.40
6-October-2022,19255.05,19501.00,19250.00,19296.70,19322.914185639229422066,571,428,11033384.00,152,26.62,251.00,41.65
4-October-2022,19060.35,19343.85,19060.35,19248.70,19244.103498542274052478,686,348,13201455.00,288,41.98,283.50,188.35
3-October-2022,19100.05,19107.05,18779.00,18992.05,18967.334431630971993410,607,364,11513172.00,138,22.73,328.05,-108.00
30-September-2022,18980.00,19186.00,18917.40,19124.60,19084.965804837364470391,1199,456,22882874.00,593,49.46,268.60,144.60
29-September-2022,18825.15,19120.00,18799.00,18978.50,18994.002460629921259842,2032,1012,38595813.00,706,34.74,321.00,153.35
28-September-2022,18630.00,18985.00,18518.55,18860.25,18818.836683417085427135,2786,1172,52429279.00,1749,62.78,466.45,230.25
27-September-2022,18450.05,18790.00,18450.05,18674.80,18684.947301587301587301,1575,830,29428792.00,590,37.46,339.95,224.75
26-September-2022,18498.90,18885.00,18383.95,18454.35,18684.490211433046202036,3831,1738,71580282.00,1263,32.97,501.05,-44.55
23-September-2022,18640.00,18640.00,18460.00,18507.15,18525.248648648648648648,555,286,10281513.00,254,45.77,180.00,-132.85
22-September-2022,18841.85,18841.85,18597.40,18621.15,18657.499876634591660498,4053,961,75618847.00,3379,83.37,244.45,-220.70
21-September-2022,18415.05,18879.00,18415.05,18631.40,18743.006864988558352402,874,460,16381388.00,146,16.70,463.95,216.35
20-September-2022,18765.35,18925.45,18581.10,18610.90,18719.764717254712421459,10345,2480,193655966.00,8720,84.29,344.35,-154.45
19-September-2022,18405.10,18834.10,18259.95,18765.35,18413.063212239501353648,31766,856,584909366.00,30826,97.04,574.15,360.25
16-September-2022,18997.35,18997.35,18351.55,18412.25,18610.918739635157545605,1206,720,22444768.00,675,55.97,645.80,-585.10
15-September-2022,19164.95,19235.75,18980.40,19000.30,19079.880570409982174688,561,358,10703813.00,177,31.55,255.35,-164.65
14-September-2022,18900.00,19230.00,18869.25,19098.75,19099.596075224856909239,1223,507,23358806.00,375,30.66,360.75,198.75
13-September-2022,18970.85,19254.75,18970.85,19051.50,19210.496113989637305699,12352,879,237288048.00,11476,92.91,283.90,80.65
12-September-2022,19095.00,19142.90,18900.00,18972.10,19061.439590443686006825,1465,569,27925009.00,608,41.50,242.90,-122.90
9-September-2022,19348.00,19348.00,19000.00,19034.05,19148.107706173952230734,2219,940,42489651.00,1285,57.91,348.00,-313.95
