Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-March-2023,102.61,103.56,99.90,100.54,101.239822493458342561,121911,1955,12342248.00,58661,48.12,3.66,-2.07
9-March-2023,102.00,105.80,102.00,103.81,104.067960983631063607,107032,1682,11138602.00,44363,41.45,3.80,1.81
8-March-2023,100.45,102.30,99.02,101.77,100.614273367082355846,64792,935,6519000.00,26964,41.62,3.28,1.32
6-March-2023,102.01,103.51,99.97,100.51,101.027306770521270221,66760,931,6744583.00,34750,52.05,3.54,-1.50
3-March-2023,101.66,103.26,100.84,102.61,101.988208232075442859,130854,1814,13345565.00,42329,32.35,2.42,0.95
2-March-2023,99.21,102.31,98.44,101.50,100.772998946531077333,93026,1420,9374509.00,32495,34.93,3.87,2.29
1-March-2023,97.20,99.46,97.20,99.06,98.521248349014855462,73441,1258,7235499.00,29150,39.69,2.26,1.86
28-February-2023,97.30,99.00,95.05,96.80,96.587759189335685215,108849,2365,10513481.00,51284,47.11,3.95,-0.50
27-February-2023,99.00,104.65,97.20,97.70,100.610971934190515691,180825,2960,18192979.00,49761,27.52,7.45,-1.30
24-February-2023,99.10,100.25,98.20,99.00,99.209611715567472799,96965,1628,9619860.00,37332,38.50,2.05,-0.10
23-February-2023,100.75,102.65,98.50,99.05,100.158859449063028787,95147,1758,9529815.00,31598,33.21,4.15,-1.70
22-February-2023,102.15,102.95,98.65,99.90,100.129162886204097225,209410,3460,20968048.00,92790,44.31,4.30,-2.25
21-February-2023,105.00,105.00,102.85,103.20,103.661464683410550272,49212,1062,5101388.00,23463,47.68,2.15,-1.80
20-February-2023,106.25,106.25,103.90,104.20,104.524233205534255709,47992,640,5016327.00,23765,49.52,2.35,-2.05
17-February-2023,104.30,106.40,103.55,105.50,105.435632778670443094,36719,421,3871491.00,8338,22.71,2.85,1.20
16-February-2023,106.40,106.40,104.75,105.45,105.482482308111050626,45925,615,4844283.00,16507,35.94,1.65,-0.95
15-February-2023,105.20,107.55,105.00,105.10,106.380574279751481277,41687,696,4434687.00,19030,45.65,2.55,-0.10
14-February-2023,104.05,105.80,103.65,104.65,104.463010686183554959,87309,1227,9120561.00,42007,48.11,2.15,0.60
13-February-2023,108.85,109.00,104.45,104.80,105.680574709535527252,110943,1951,11724520.00,56384,50.82,4.55,-4.05
10-February-2023,107.35,109.30,107.00,108.85,108.117766226842596294,37515,558,4056038.00,9651,25.73,2.30,1.50
9-February-2023,108.45,110.00,107.00,107.35,108.162069693663618218,795596,1885,86053310.00,721520,90.69,3.00,-1.10
8-February-2023,111.60,112.40,106.60,108.45,109.000339628375056977,111887,1290,12195721.00,38053,34.01,5.80,-3.15
7-February-2023,114.20,114.50,110.90,111.25,111.980470329381011932,106351,1793,11909235.00,50399,47.39,3.60,-2.95
6-February-2023,113.25,116.80,112.35,114.10,114.541205833805130495,125407,1784,14364269.00,33095,26.39,4.45,0.85
3-February-2023,114.00,116.85,112.55,115.40,114.634721482750372308,129597,1618,14856316.00,16417,12.67,4.30,1.40
2-February-2023,113.60,117.60,113.25,114.25,115.634294916678336367,71410,1266,8257445.00,10101,14.14,4.35,0.65
1-February-2023,115.05,118.35,112.05,112.95,115.960078646696929335,110367,1840,12798166.00,27004,24.47,6.30,-2.10
