Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,660.65,670.50,658.65,667.50,665.277725416273955387,22281,1034,14823053.00,4521,20.29,11.85,6.85
22-March-2023,660.10,670.50,660.05,662.05,665.964613088893626092,18764,877,12496160.00,5041,26.87,10.45,1.95
21-March-2023,666.05,670.65,662.15,665.10,665.560546194073213248,34420,1794,22908594.00,8038,23.35,8.50,-0.95
20-March-2023,665.10,671.90,660.05,668.70,665.085367384074794503,31874,1695,21198931.00,6878,21.58,11.85,3.60
17-March-2023,664.25,677.90,664.25,676.20,670.257271780631725095,43215,2194,28965168.00,12973,30.02,13.65,11.95
16-March-2023,679.35,679.35,649.75,662.65,661.255187057997876590,55571,2561,36746612.00,7627,13.72,29.60,-16.70
15-March-2023,672.15,684.50,672.15,679.40,680.813786526803351270,73405,2821,49975136.00,44904,61.17,12.35,7.25
14-March-2023,671.25,682.65,668.00,672.35,676.540594874775953107,41286,2596,27931655.00,10333,25.03,14.65,1.10
13-March-2023,680.85,691.25,673.00,675.65,683.254163193103027591,49181,3210,33603123.00,15464,31.44,18.25,-5.20
10-March-2023,670.00,680.90,666.50,680.00,672.573726970317297850,125056,3499,84109380.00,91359,73.05,14.40,10.00
9-March-2023,675.65,691.85,672.85,679.50,681.179688180050873850,206786,5748,140858423.00,129728,62.74,19.00,3.85
8-March-2023,668.05,677.20,664.15,675.60,670.696400191720693221,39641,1835,26587076.00,10101,25.48,13.05,7.55
6-March-2023,682.00,683.50,673.65,674.15,678.632314410480349344,35495,2065,24088054.00,11019,31.04,9.85,-7.85
3-March-2023,679.20,686.00,676.40,682.95,681.734998574686431014,28064,1090,19132211.00,9405,33.51,9.60,3.75
2-March-2023,676.85,683.35,673.85,674.80,677.661570329453541132,40552,1763,27480532.00,9580,23.62,9.50,-2.05
1-March-2023,668.00,678.50,668.00,676.80,674.834805725971370143,24450,1180,16499711.00,3993,16.33,10.50,8.80
28-February-2023,680.45,682.45,665.65,667.10,672.897198257452806013,23414,1557,15755215.00,4154,17.74,16.80,-13.35
27-February-2023,683.70,683.70,666.40,680.40,675.689684379457917261,44864,2673,30314142.00,10892,24.28,17.30,-3.30
24-February-2023,713.10,713.10,677.35,685.10,686.890352220520673813,45710,2292,31397758.00,7658,16.75,35.75,-28.00
23-February-2023,693.15,714.00,693.15,701.25,705.365239351003441648,44746,2190,31562273.00,10533,23.54,20.85,8.10
22-February-2023,711.55,723.00,695.00,700.00,704.122546370698911525,427479,3563,300997602.00,390562,91.36,28.00,-11.55
21-February-2023,724.05,735.90,717.20,720.80,726.744370656370656370,32375,1107,23528349.00,11296,34.89,18.70,-3.25
20-February-2023,725.85,732.30,721.30,722.70,723.552371283808956113,107368,2090,77686371.00,88277,82.22,11.00,-3.15
17-February-2023,720.05,735.95,720.05,727.60,731.047137637028014616,24630,1057,18005691.00,5025,20.40,15.90,7.55
16-February-2023,731.95,731.95,724.00,727.75,728.313886982383893845,13113,629,9550380.00,2823,21.53,7.95,-4.20
15-February-2023,721.95,728.50,720.00,726.00,724.815631469979296066,19320,849,14003438.00,3507,18.15,8.50,4.05
14-February-2023,717.05,725.50,715.80,723.65,721.014228859225865530,28393,1423,20471757.00,8157,28.73,9.70,6.60
13-February-2023,711.05,727.65,711.05,718.05,721.343298310791199860,17227,685,12426581.00,4933,28.64,16.60,7.00
10-February-2023,722.00,725.85,712.20,718.90,717.290574214517876489,36920,1404,26482368.00,13263,35.92,13.65,-3.10
9-February-2023,730.05,736.85,722.65,724.20,728.325541764508554176,74525,1644,54278461.00,52029,69.81,14.20,-5.85
8-February-2023,710.05,736.00,710.05,731.70,727.021290322580645161,52700,2371,38314022.00,23325,44.26,25.95,21.65
7-February-2023,709.85,720.55,706.95,714.45,714.031706814906320774,33999,1475,24276364.00,7876,23.17,13.60,4.60
6-February-2023,728.15,732.65,708.00,710.90,717.064271893665348700,47548,2440,34094972.00,12569,26.43,24.65,-17.25
3-February-2023,719.25,734.00,719.25,732.30,727.151870236254645075,36867,1563,26807908.00,8179,22.19,14.75,13.05
2-February-2023,715.15,736.50,715.15,727.30,729.433177291293772086,43578,2026,31787239.00,10206,23.42,21.35,12.15
